pay_date,ex_dividend_date,record_date,declaration_date,cash_amount,currency,frequency,distribution_type,historical_adjustment_factor,split_adjusted_cash_amount,ticker,id
2023-07-31,2023-06-20,2023-06-21,2023-06-16,0.50395,USD,4,recurring,0.981495,0.50395,QQQ,E5cddf7063174cf7ea54355d4658d1db4e164247b368207866afd2e6fe667c6ef
2023-10-31,2023-09-18,2023-09-19,2023-09-15,0.53555,USD,4,recurring,0.982841,0.53555,QQQ,E5ccc751471c1f9c71b773dfd433d2919f5fa9908baf1be515bf71b81682006ba
2023-12-29,2023-12-18,2023-12-19,2023-12-15,0.80826,USD,4,recurring,0.984262,0.80826,QQQ,E9968c5b12e60785522bd583a29ecf16faba98b4f2005362bae6b38d5b3f93f30
2024-01-15,2023-12-27,2023-12-28,2023-12-26,0.21584,USD,0,special,0.986229,0.21584,QQQ,E9bc41eee54269ad05335e4d6543d7df40462877cb188803afc3ac291a67dd4ae
2024-04-30,2024-03-18,2024-03-19,2024-03-15,0.57345,USD,4,recurring,0.986747,0.57345,QQQ,Ea35122d002fb8d736dbeebd5b87762567ddddeffdcb3fbac33bf25195a0e29ea
2024-07-31,2024-06-24,2024-06-24,2024-06-21,0.7615,USD,4,recurring,0.988053,0.7615,QQQ,Ea1aabf39659c520db45639a9f0aea5a0c9d8cee61ffc4f2468053a9445b1e9c0
2024-10-31,2024-09-23,2024-09-23,2024-09-20,0.67686,USD,4,recurring,0.989622,0.67686,QQQ,E849d740e6f9db12d6d2ddf32f4ec620b3ae2bac2fd24af5b98d17d8888d8e6fa
2024-12-31,2024-12-23,2024-12-23,2024-12-20,0.83466,USD,4,recurring,0.991013,0.83466,QQQ,Eecd3e17267357385c03eb67a7ae00a041f42b6a89942b9457dd0a8907d9aa1be
2025-04-30,2025-03-24,2025-03-24,2025-03-21,0.71571,USD,4,recurring,0.99261,0.71571,QQQ,E038d324579c9b23c903f43266cd734d7fafcae7ad8adbf81d12e853ab90443a7
2025-07-31,2025-06-23,2025-06-23,2025-06-20,0.59111,USD,4,recurring,0.99409,0.59111,QQQ,E27b8fc7e16654c25b1e966dd03babb6f2b7d3c122b9c33c6f83d51ac25359893
2025-10-31,2025-09-22,2025-09-22,2025-09-19,0.69395,USD,4,recurring,0.995206,0.69395,QQQ,E953c1238f90095e92573ff7325393a6208bb189af19358a02607e6f252f70a19
2025-12-31,2025-12-22,2025-12-22,2025-12-19,0.79408,USD,4,recurring,0.99636,0.79408,QQQ,E19023bc2eefe9df1eb7eb37c978a268a915a73beb42c0907b10821e04baba673
2026-03-27,2026-03-23,2026-03-23,2026-03-20,0.73282,USD,4,recurring,0.997644,0.73282,QQQ,Ede4b23eba604faffbcebc2037cc80b5d73f3ca145cb38db49e5f241b854a6a36
2026-07-10,2026-06-22,2026-06-22,2026-06-18,0.81349,USD,4,recurring,0.998902,0.81349,QQQ,E89a4e2b261993458faa04b84c8b9ccdc409b2ab4c5071d01b3b4e0b8b0bf7a63
